t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,2.79836
"176,367p",9.99064
"352,734p",10.3588
"529,101p",10.9234
"705,467p",10.7516
"881,834p",9.81881
"1,0582n",11.0462
"1,23457n",11.0462
"1,41093n",11.5617
"1,5873n",11.6107
"1,76367n",10.5552
"1,94004n",12.2244
"2,1164n",12.5435
"2,29277n",13.0836
"2,46914n",14.8755
"2,6455n",16.422
"2,82187n",20.7177
"2,99824n",22.7551
"3,1746n",30.4629
"3,35097n",36.8942
"3,52734n",50.3951
"3,7037n",57.1946
"3,88007n",69.3454
"4,05644n",82.748
"4,2328n",81.0298
"4,40917n",73.1747
"4,58554n",59.3547
"4,7619n",48.2595
"4,93827n",35.0532
"5,11464n",26.3635
"5,29101n",19.4658
"5,46737n",14.2618
"5,64374n",12.7154
"5,82011n",11.2916
"5,99647n",10.5061
"6,17284n",9.81881
"6,34921n",10.1625
"6,52557n",9.79427
"6,70194n",10.0152
"6,87831n",10.8252
"7,05467n",10.4079
"7,23104n",10.9725
"7,40741n",10.9234
"7,58377n",9.9661
"7,76014n",9.94155
"7,93651n",10.457
"8,11287n",10.0397
"8,28924n",9.99064
"8,46561n",9.57334
"8,64198n",10.2361
"8,81834n",10.2607
"8,99471n",9.86791
"9,17108n",10.3098
"9,34744n",10.2116
"9,52381n",10.3834
"9,70018n",11.1934
"9,87654n",10.7516
