Time - Singles 1,Count rates (per second) - Singles 1,Time - Singles 2,Count rates (per second) - Singles 2,Time - Singles 3,Count rates (per second) - Singles 3,Time - Singles 4,Count rates (per second) - Singles 4,Time - Singles 5,Count rates (per second) - Singles 5,Time - Singles 6,Count rates (per second) - Singles 6,Time - Singles 7,Count rates (per second) - Singles 7,Time - Singles 8,Count rates (per second) - Singles 8,Time - Coinc 1+2,Count rates (per second) - Coinc 1+2,Time - Coinc 1+3,Count rates (per second) - Coinc 1+3,Time - Coinc 1+4,Count rates (per second) - Coinc 1+4,Time - Coinc 2+3,Count rates (per second) - Coinc 2+3,Time - Coinc 2+4,Count rates (per second) - Coinc 2+4,Time - Coinc 3+4,Count rates (per second) - Coinc 3+4,Time - Coinc 1+2+3,Count rates (per second) - Coinc 1+2+3,Time - Coinc 1+2+4,Count rates (per second) - Coinc 1+2+4,Time - Coinc 1+3+4,Count rates (per second) - Coinc 1+3+4,Time - Coinc 2+3+4,Count rates (per second) - Coinc 2+3+4,Time - Coinc 1+2+3+4,Count rates (per second) - Coinc 1+2+3+4,Time - Plot 19,Count rates (per second) - Plot 19,Time - Plot 20,Count rates (per second) - Plot 20
1582,"318,275k",1582,"257,031k",1582,0,1582,0,1582,0,1582,0,1582,0,1582,0,1582,"2,085k",1582,0,1582,0,1582,0,1582,0,1582,0,1582,0,1582,0,1582,0,1582,0,1582,0,1582,"2,7k",1582,"2,3k"
1583,"317,146k",1583,"257,245k",1583,0,1583,0,1583,0,1583,0,1583,0,1583,0,1583,"2,029k",1583,0,1583,0,1583,0,1583,0,1583,0,1583,0,1583,0,1583,0,1583,0,1583,0,1583,"2,7k",1583,"2,3k"
1584,"318,179k",1584,"256,426k",1584,0,1584,0,1584,0,1584,0,1584,0,1584,0,1584,"1,953k",1584,0,1584,0,1584,0,1584,0,1584,0,1584,0,1584,0,1584,0,1584,0,1584,0,1584,"2,7k",1584,"2,3k"
1585,"318,003k",1585,"255,927k",1585,0,1585,0,1585,0,1585,0,1585,0,1585,0,1585,"2,158k",1585,0,1585,0,1585,0,1585,0,1585,0,1585,0,1585,0,1585,0,1585,0,1585,0,1585,"2,7k",1585,"2,3k"
1586,"316,004k",1586,"254,175k",1586,0,1586,0,1586,0,1586,0,1586,0,1586,0,1586,"2,078k",1586,0,1586,0,1586,0,1586,0,1586,0,1586,0,1586,0,1586,0,1586,0,1586,0,1586,"2,7k",1586,"2,3k"
1587,"316,153k",1587,"254,179k",1587,0,1587,0,1587,0,1587,0,1587,0,1587,0,1587,"2,049k",1587,0,1587,0,1587,0,1587,0,1587,0,1587,0,1587,0,1587,0,1587,0,1587,0,1587,"2,7k",1587,"2,3k"
1588,"315,994k",1588,"254,034k",1588,0,1588,0,1588,0,1588,0,1588,0,1588,0,1588,"1,933k",1588,0,1588,0,1588,0,1588,0,1588,0,1588,0,1588,0,1588,0,1588,0,1588,0,1588,"2,7k",1588,"2,3k"
1589,"316,182k",1589,"254,739k",1589,0,1589,0,1589,0,1589,0,1589,0,1589,0,1589,"2,058k",1589,0,1589,0,1589,0,1589,0,1589,0,1589,0,1589,0,1589,0,1589,0,1589,0,1589,"2,7k",1589,"2,3k"
1590,"316,67k",1590,"254,359k",1590,0,1590,0,1590,0,1590,0,1590,0,1590,0,1590,"1,994k",1590,0,1590,0,1590,0,1590,0,1590,0,1590,0,1590,0,1590,0,1590,0,1590,0,1590,"2,7k",1590,"2,3k"
1591,"316,782k",1591,"254,069k",1591,0,1591,0,1591,0,1591,0,1591,0,1591,0,1591,"1,942k",1591,0,1591,0,1591,0,1591,0,1591,0,1591,0,1591,0,1591,0,1591,0,1591,0,1591,"2,7k",1591,"2,3k"
1592,"316,149k",1592,"253,881k",1592,0,1592,0,1592,0,1592,0,1592,0,1592,0,1592,"2,05k",1592,0,1592,0,1592,0,1592,0,1592,0,1592,0,1592,0,1592,0,1592,0,1592,0,1592,"2,7k",1592,"2,3k"
1593,"316,633k",1593,"254,021k",1593,0,1593,0,1593,0,1593,0,1593,0,1593,0,1593,"2,031k",1593,0,1593,0,1593,0,1593,0,1593,0,1593,0,1593,0,1593,0,1593,0,1593,0,1593,"2,7k",1593,"2,3k"
1594,"316,081k",1594,"255,803k",1594,0,1594,0,1594,0,1594,0,1594,0,1594,0,1594,"2,084k",1594,0,1594,0,1594,0,1594,0,1594,0,1594,0,1594,0,1594,0,1594,0,1594,0,1594,"2,7k",1594,"2,3k"
1595,"316,817k",1595,"255,967k",1595,0,1595,0,1595,0,1595,0,1595,0,1595,0,1595,"2,075k",1595,0,1595,0,1595,0,1595,0,1595,0,1595,0,1595,0,1595,0,1595,0,1595,0,1595,"2,7k",1595,"2,3k"
1596,"317,455k",1596,"256,209k",1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,"2,089k",1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,0,1596,"2,7k",1596,"2,3k"
1597,"319,123k",1597,"256,517k",1597,0,1597,0,1597,0,1597,0,1597,0,1597,0,1597,"2,085k",1597,0,1597,0,1597,0,1597,0,1597,0,1597,0,1597,0,1597,0,1597,0,1597,0,1597,"2,7k",1597,"2,3k"
1598,"318,749k",1598,"256,545k",1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,"2,087k",1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,"2,7k",1598,"2,3k"
1599,"318,106k",1599,"256,434k",1599,0,1599,0,1599,0,1599,0,1599,0,1599,0,1599,"2,049k",1599,0,1599,0,1599,0,1599,0,1599,0,1599,0,1599,0,1599,0,1599,0,1599,0,1599,"2,7k",1599,"2,3k"
1600,"318,372k",1600,"257,297k",1600,0,1600,0,1600,0,1600,0,1600,0,1600,0,1600,"2,073k",1600,0,1600,0,1600,0,1600,0,1600,0,1600,0,1600,0,1600,0,1600,0,1600,0,1600,"2,7k",1600,"2,3k"
1601,"319,035k",1601,"257,048k",1601,0,1601,0,1601,0,1601,0,1601,0,1601,0,1601,"2,059k",1601,0,1601,0,1601,0,1601,0,1601,0,1601,0,1601,0,1601,0,1601,0,1601,0,1601,"2,7k",1601,"2,3k"
1602,"319,228k",1602,"256,892k",1602,0,1602,0,1602,0,1602,0,1602,0,1602,0,1602,"2,008k",1602,0,1602,0,1602,0,1602,0,1602,0,1602,0,1602,0,1602,0,1602,0,1602,0,1602,"2,7k",1602,"2,3k"
1603,"320,152k",1603,"257,64k",1603,0,1603,0,1603,0,1603,0,1603,0,1603,0,1603,"2,057k",1603,0,1603,0,1603,0,1603,0,1603,0,1603,0,1603,0,1603,0,1603,0,1603,0,1603,"2,7k",1603,"2,3k"
1604,"319,031k",1604,"257,234k",1604,0,1604,0,1604,0,1604,0,1604,0,1604,0,1604,"2,067k",1604,0,1604,0,1604,0,1604,0,1604,0,1604,0,1604,0,1604,0,1604,0,1604,0,1604,"2,7k",1604,"2,3k"
1605,"319,3k",1605,"256,905k",1605,0,1605,0,1605,0,1605,0,1605,0,1605,0,1605,"2,021k",1605,0,1605,0,1605,0,1605,0,1605,0,1605,0,1605,0,1605,0,1605,0,1605,0,1605,"2,7k",1605,"2,3k"
1606,"319,789k",1606,"257,37k",1606,0,1606,0,1606,0,1606,0,1606,0,1606,0,1606,"2,121k",1606,0,1606,0,1606,0,1606,0,1606,0,1606,0,1606,0,1606,0,1606,0,1606,0,1606,"2,7k",1606,"2,3k"
1607,"320,856k",1607,"257,918k",1607,0,1607,0,1607,0,1607,0,1607,0,1607,0,1607,"2,029k",1607,0,1607,0,1607,0,1607,0,1607,0,1607,0,1607,0,1607,0,1607,0,1607,0,1607,"2,7k",1607,"2,3k"
1608,"321,278k",1608,"258,213k",1608,0,1608,0,1608,0,1608,0,1608,0,1608,0,1608,"2,108k",1608,0,1608,0,1608,0,1608,0,1608,0,1608,0,1608,0,1608,0,1608,0,1608,0,1608,"2,7k",1608,"2,3k"
1609,"320,446k",1609,"257,035k",1609,0,1609,0,1609,0,1609,0,1609,0,1609,0,1609,"2,082k",1609,0,1609,0,1609,0,1609,0,1609,0,1609,0,1609,0,1609,0,1609,0,1609,0,1609,"2,7k",1609,"2,3k"
1610,"320,858k",1610,"258,226k",1610,0,1610,0,1610,0,1610,0,1610,0,1610,0,1610,"2,085k",1610,0,1610,0,1610,0,1610,0,1610,0,1610,0,1610,0,1610,0,1610,0,1610,0,1610,"2,7k",1610,"2,3k"
1611,"321,483k",1611,"258,979k",1611,0,1611,0,1611,0,1611,0,1611,0,1611,0,1611,"2,06k",1611,0,1611,0,1611,0,1611,0,1611,0,1611,0,1611,0,1611,0,1611,0,1611,0,1611,"2,7k",1611,"2,3k"
1612,"321,276k",1612,"258,077k",1612,0,1612,0,1612,0,1612,0,1612,0,1612,0,1612,"2,12k",1612,0,1612,0,1612,0,1612,0,1612,0,1612,0,1612,0,1612,0,1612,0,1612,0,1612,"2,7k",1612,"2,3k"
