Time - Singles 1,Count rates (per second) - Singles 1,Time - Singles 2,Count rates (per second) - Singles 2,Time - Singles 3,Count rates (per second) - Singles 3,Time - Singles 4,Count rates (per second) - Singles 4,Time - Singles 5,Count rates (per second) - Singles 5,Time - Singles 6,Count rates (per second) - Singles 6,Time - Singles 7,Count rates (per second) - Singles 7,Time - Singles 8,Count rates (per second) - Singles 8,Time - Coinc 1+2,Count rates (per second) - Coinc 1+2,Time - Coinc 1+3,Count rates (per second) - Coinc 1+3,Time - Coinc 1+4,Count rates (per second) - Coinc 1+4,Time - Coinc 2+3,Count rates (per second) - Coinc 2+3,Time - Coinc 2+4,Count rates (per second) - Coinc 2+4,Time - Coinc 3+4,Count rates (per second) - Coinc 3+4,Time - Coinc 1+2+3,Count rates (per second) - Coinc 1+2+3,Time - Coinc 1+2+4,Count rates (per second) - Coinc 1+2+4,Time - Coinc 1+3+4,Count rates (per second) - Coinc 1+3+4,Time - Coinc 2+3+4,Count rates (per second) - Coinc 2+3+4,Time - Coinc 1+2+3+4,Count rates (per second) - Coinc 1+2+3+4,Time - Plot 19,Count rates (per second) - Plot 19,Time - Plot 20,Count rates (per second) - Plot 20
6410,"210,382k",6410,"168,308k",6410,0,6410,0,6410,0,6410,0,6410,0,6410,0,6410,385,6410,0,6410,0,6410,0,6410,0,6410,0,6410,0,6410,0,6410,0,6410,0,6410,0,6410,"2,7k",6410,"2,3k"
6411,"210,615k",6411,"169,951k",6411,0,6411,0,6411,0,6411,0,6411,0,6411,0,6411,362,6411,0,6411,0,6411,0,6411,0,6411,0,6411,0,6411,0,6411,0,6411,0,6411,0,6411,"2,7k",6411,"2,3k"
6412,"211,193k",6412,"169,933k",6412,0,6412,0,6412,0,6412,0,6412,0,6412,0,6412,411,6412,0,6412,0,6412,0,6412,0,6412,0,6412,0,6412,0,6412,0,6412,0,6412,0,6412,"2,7k",6412,"2,3k"
6413,"209,161k",6413,"169,023k",6413,0,6413,0,6413,0,6413,0,6413,0,6413,0,6413,397,6413,0,6413,0,6413,0,6413,0,6413,0,6413,0,6413,0,6413,0,6413,0,6413,0,6413,"2,7k",6413,"2,3k"
6414,"209,723k",6414,"168,219k",6414,0,6414,0,6414,0,6414,0,6414,0,6414,0,6414,375,6414,0,6414,0,6414,0,6414,0,6414,0,6414,0,6414,0,6414,0,6414,0,6414,0,6414,"2,7k",6414,"2,3k"
6415,"209,976k",6415,"169,078k",6415,0,6415,0,6415,0,6415,0,6415,0,6415,0,6415,374,6415,0,6415,0,6415,0,6415,0,6415,0,6415,0,6415,0,6415,0,6415,0,6415,0,6415,"2,7k",6415,"2,3k"
6416,"210,833k",6416,"168,956k",6416,0,6416,0,6416,0,6416,0,6416,0,6416,0,6416,414,6416,0,6416,0,6416,0,6416,0,6416,0,6416,0,6416,0,6416,0,6416,0,6416,0,6416,"2,7k",6416,"2,3k"
6417,"210,382k",6417,"169,205k",6417,0,6417,0,6417,0,6417,0,6417,0,6417,0,6417,411,6417,0,6417,0,6417,0,6417,0,6417,0,6417,0,6417,0,6417,0,6417,0,6417,0,6417,"2,7k",6417,"2,3k"
6418,"209,953k",6418,"169,268k",6418,0,6418,0,6418,0,6418,0,6418,0,6418,0,6418,330,6418,0,6418,0,6418,0,6418,0,6418,0,6418,0,6418,0,6418,0,6418,0,6418,0,6418,"2,7k",6418,"2,3k"
6419,"209,799k",6419,"168,903k",6419,0,6419,0,6419,0,6419,0,6419,0,6419,0,6419,385,6419,0,6419,0,6419,0,6419,0,6419,0,6419,0,6419,0,6419,0,6419,0,6419,0,6419,"2,7k",6419,"2,3k"
