t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.100004
"176,367p",0.450016
"352,734p",0.450016
"529,101p",0.400014
"705,467p",0.400014
"881,834p",0.55002
"1,0582n",0.600021
"1,23457n",0.750027
"1,41093n",0.675024
"1,5873n",0.650023
"1,76367n",1.02504
"1,94004n",0.900032
"2,1164n",1.25004
"2,29277n",1.42505
"2,46914n",2.12508
"2,6455n",2.7001
"2,82187n",3.80014
"2,99824n",5.20019
"3,1746n",8.10029
"3,35097n",13.2005
"3,52734n",20.3757
"3,7037n",31.8761
"3,88007n",48.0017
"4,05644n",66.1774
"4,2328n",72.5776
"4,40917n",66.7524
"4,58554n",47.6017
"4,7619n",28.751
"4,93827n",15.8756
"5,11464n",8.5253
"5,29101n",4.75017
"5,46737n",2.6751
"5,64374n",1.67506
"5,82011n",0.925033
"5,99647n",0.475017
"6,17284n",0.200007
"6,34921n",0.325012
"6,52557n",0.350012
"6,70194n",0.225008
"6,87831n",0.375013
"7,05467n",0.200007
"7,23104n",0.400014
"7,40741n",0.500018
"7,58377n",0.450016
"7,76014n",0.300011
"7,93651n",0.400014
"8,11287n",0.650023
"8,28924n",0.375013
"8,46561n",0.575021
"8,64198n",0.300011
"8,81834n",0.27501
"8,99471n",0.475017
"9,17108n",0.225008
"9,34744n",0.575021
"9,52381n",0.425015
"9,70018n",0.375013
"9,87654n",0.27501
