Time - Singles 1,Count rates (per second) - Singles 1,Time - Singles 2,Count rates (per second) - Singles 2,Time - Singles 3,Count rates (per second) - Singles 3,Time - Singles 4,Count rates (per second) - Singles 4,Time - Singles 5,Count rates (per second) - Singles 5,Time - Singles 6,Count rates (per second) - Singles 6,Time - Singles 7,Count rates (per second) - Singles 7,Time - Singles 8,Count rates (per second) - Singles 8,Time - Coinc 1+2,Count rates (per second) - Coinc 1+2,Time - Coinc 1+3,Count rates (per second) - Coinc 1+3,Time - Coinc 1+4,Count rates (per second) - Coinc 1+4,Time - Coinc 2+3,Count rates (per second) - Coinc 2+3,Time - Coinc 2+4,Count rates (per second) - Coinc 2+4,Time - Coinc 3+4,Count rates (per second) - Coinc 3+4,Time - Coinc 1+2+3,Count rates (per second) - Coinc 1+2+3,Time - Coinc 1+2+4,Count rates (per second) - Coinc 1+2+4,Time - Coinc 1+3+4,Count rates (per second) - Coinc 1+3+4,Time - Coinc 2+3+4,Count rates (per second) - Coinc 2+3+4,Time - Coinc 1+2+3+4,Count rates (per second) - Coinc 1+2+3+4,Time - Plot 19,Count rates (per second) - Plot 19,Time - Plot 20,Count rates (per second) - Plot 20
2904,"48,91k",2904,"40,944k",2904,0,2904,0,2904,0,2904,0,2904,0,2904,0,2904,396,2904,0,2904,0,2904,0,2904,0,2904,0,2904,0,2904,0,2904,0,2904,0,2904,0,2904,"2,7k",2904,"2,3k"
2905,"48,975k",2905,"40,55k",2905,0,2905,0,2905,0,2905,0,2905,0,2905,0,2905,403,2905,0,2905,0,2905,0,2905,0,2905,0,2905,0,2905,0,2905,0,2905,0,2905,0,2905,"2,7k",2905,"2,3k"
2906,"49,126k",2906,"40,446k",2906,0,2906,0,2906,0,2906,0,2906,0,2906,0,2906,382,2906,0,2906,0,2906,0,2906,0,2906,0,2906,0,2906,0,2906,0,2906,0,2906,0,2906,"2,7k",2906,"2,3k"
2907,"48,91k",2907,"40,512k",2907,0,2907,0,2907,0,2907,0,2907,0,2907,0,2907,377,2907,0,2907,0,2907,0,2907,0,2907,0,2907,0,2907,0,2907,0,2907,0,2907,0,2907,"2,7k",2907,"2,3k"
2908,"48,736k",2908,"40,222k",2908,0,2908,0,2908,0,2908,0,2908,0,2908,0,2908,417,2908,0,2908,0,2908,0,2908,0,2908,0,2908,0,2908,0,2908,0,2908,0,2908,0,2908,"2,7k",2908,"2,3k"
2909,"48,851k",2909,"40,45k",2909,0,2909,0,2909,0,2909,0,2909,0,2909,0,2909,399,2909,0,2909,0,2909,0,2909,0,2909,0,2909,0,2909,0,2909,0,2909,0,2909,0,2909,"2,7k",2909,"2,3k"
2910,"49,242k",2910,"40,524k",2910,0,2910,0,2910,0,2910,0,2910,0,2910,0,2910,365,2910,0,2910,0,2910,0,2910,0,2910,0,2910,0,2910,0,2910,0,2910,0,2910,0,2910,"2,7k",2910,"2,3k"
2911,"49,078k",2911,"40,803k",2911,0,2911,0,2911,0,2911,0,2911,0,2911,0,2911,403,2911,0,2911,0,2911,0,2911,0,2911,0,2911,0,2911,0,2911,0,2911,0,2911,0,2911,"2,7k",2911,"2,3k"
2912,"48,743k",2912,"40,209k",2912,0,2912,0,2912,0,2912,0,2912,0,2912,0,2912,351,2912,0,2912,0,2912,0,2912,0,2912,0,2912,0,2912,0,2912,0,2912,0,2912,0,2912,"2,7k",2912,"2,3k"
2913,"49,312k",2913,"40,253k",2913,0,2913,0,2913,0,2913,0,2913,0,2913,0,2913,430,2913,0,2913,0,2913,0,2913,0,2913,0,2913,0,2913,0,2913,0,2913,0,2913,0,2913,"2,7k",2913,"2,3k"
2914,"48,993k",2914,"40,586k",2914,0,2914,0,2914,0,2914,0,2914,0,2914,0,2914,383,2914,0,2914,0,2914,0,2914,0,2914,0,2914,0,2914,0,2914,0,2914,0,2914,0,2914,"2,7k",2914,"2,3k"
2915,"49,254k",2915,"40,173k",2915,0,2915,0,2915,0,2915,0,2915,0,2915,0,2915,385,2915,0,2915,0,2915,0,2915,0,2915,0,2915,0,2915,0,2915,0,2915,0,2915,0,2915,"2,7k",2915,"2,3k"
2916,"48,899k",2916,"39,932k",2916,0,2916,0,2916,0,2916,0,2916,0,2916,0,2916,363,2916,0,2916,0,2916,0,2916,0,2916,0,2916,0,2916,0,2916,0,2916,0,2916,0,2916,"2,7k",2916,"2,3k"
2917,"48,748k",2917,"40,243k",2917,0,2917,0,2917,0,2917,0,2917,0,2917,0,2917,374,2917,0,2917,0,2917,0,2917,0,2917,0,2917,0,2917,0,2917,0,2917,0,2917,0,2917,"2,7k",2917,"2,3k"
2918,"48,788k",2918,"40,679k",2918,0,2918,0,2918,0,2918,0,2918,0,2918,0,2918,406,2918,0,2918,0,2918,0,2918,0,2918,0,2918,0,2918,0,2918,0,2918,0,2918,0,2918,"2,7k",2918,"2,3k"
2919,"48,542k",2919,"40,137k",2919,0,2919,0,2919,0,2919,0,2919,0,2919,0,2919,389,2919,0,2919,0,2919,0,2919,0,2919,0,2919,0,2919,0,2919,0,2919,0,2919,0,2919,"2,7k",2919,"2,3k"
2920,"48,462k",2920,"39,979k",2920,0,2920,0,2920,0,2920,0,2920,0,2920,0,2920,392,2920,0,2920,0,2920,0,2920,0,2920,0,2920,0,2920,0,2920,0,2920,0,2920,0,2920,"2,7k",2920,"2,3k"
2921,"49,021k",2921,"40,022k",2921,0,2921,0,2921,0,2921,0,2921,0,2921,0,2921,381,2921,0,2921,0,2921,0,2921,0,2921,0,2921,0,2921,0,2921,0,2921,0,2921,0,2921,"2,7k",2921,"2,3k"
2922,"48,374k",2922,"40,164k",2922,0,2922,0,2922,0,2922,0,2922,0,2922,0,2922,376,2922,0,2922,0,2922,0,2922,0,2922,0,2922,0,2922,0,2922,0,2922,0,2922,0,2922,"2,7k",2922,"2,3k"
2923,"49,031k",2923,"40,128k",2923,0,2923,0,2923,0,2923,0,2923,0,2923,0,2923,360,2923,0,2923,0,2923,0,2923,0,2923,0,2923,0,2923,0,2923,0,2923,0,2923,0,2923,"2,7k",2923,"2,3k"
2924,"48,733k",2924,"40,721k",2924,0,2924,0,2924,0,2924,0,2924,0,2924,0,2924,385,2924,0,2924,0,2924,0,2924,0,2924,0,2924,0,2924,0,2924,0,2924,0,2924,0,2924,"2,7k",2924,"2,3k"
2925,"49,325k",2925,"40,386k",2925,0,2925,0,2925,0,2925,0,2925,0,2925,0,2925,413,2925,0,2925,0,2925,0,2925,0,2925,0,2925,0,2925,0,2925,0,2925,0,2925,0,2925,"2,7k",2925,"2,3k"
2926,"49,067k",2926,"40,872k",2926,0,2926,0,2926,0,2926,0,2926,0,2926,0,2926,387,2926,0,2926,0,2926,0,2926,0,2926,0,2926,0,2926,0,2926,0,2926,0,2926,0,2926,"2,7k",2926,"2,3k"
2927,"48,607k",2927,"39,947k",2927,0,2927,0,2927,0,2927,0,2927,0,2927,0,2927,416,2927,0,2927,0,2927,0,2927,0,2927,0,2927,0,2927,0,2927,0,2927,0,2927,0,2927,"2,7k",2927,"2,3k"
2928,"48,806k",2928,"40,119k",2928,0,2928,0,2928,0,2928,0,2928,0,2928,0,2928,384,2928,0,2928,0,2928,0,2928,0,2928,0,2928,0,2928,0,2928,0,2928,0,2928,0,2928,"2,7k",2928,"2,3k"
2929,"49,398k",2929,"40,807k",2929,0,2929,0,2929,0,2929,0,2929,0,2929,0,2929,386,2929,0,2929,0,2929,0,2929,0,2929,0,2929,0,2929,0,2929,0,2929,0,2929,0,2929,"2,7k",2929,"2,3k"
2930,"49,108k",2930,"40,736k",2930,0,2930,0,2930,0,2930,0,2930,0,2930,0,2930,371,2930,0,2930,0,2930,0,2930,0,2930,0,2930,0,2930,0,2930,0,2930,0,2930,0,2930,"2,7k",2930,"2,3k"
2931,"49,123k",2931,"41,068k",2931,0,2931,0,2931,0,2931,0,2931,0,2931,0,2931,408,2931,0,2931,0,2931,0,2931,0,2931,0,2931,0,2931,0,2931,0,2931,0,2931,0,2931,"2,7k",2931,"2,3k"
2932,"48,892k",2932,"40,735k",2932,0,2932,0,2932,0,2932,0,2932,0,2932,0,2932,432,2932,0,2932,0,2932,0,2932,0,2932,0,2932,0,2932,0,2932,0,2932,0,2932,0,2932,"2,7k",2932,"2,3k"
2933,"49,206k",2933,"40,56k",2933,0,2933,0,2933,0,2933,0,2933,0,2933,0,2933,402,2933,0,2933,0,2933,0,2933,0,2933,0,2933,0,2933,0,2933,0,2933,0,2933,0,2933,"2,7k",2933,"2,3k"
2934,"49,014k",2934,"40,78k",2934,0,2934,0,2934,0,2934,0,2934,0,2934,0,2934,378,2934,0,2934,0,2934,0,2934,0,2934,0,2934,0,2934,0,2934,0,2934,0,2934,0,2934,"2,7k",2934,"2,3k"
2935,"49,757k",2935,"40,494k",2935,0,2935,0,2935,0,2935,0,2935,0,2935,0,2935,382,2935,0,2935,0,2935,0,2935,0,2935,0,2935,0,2935,0,2935,0,2935,0,2935,0,2935,"2,7k",2935,"2,3k"
2936,"49,394k",2936,"40,573k",2936,0,2936,0,2936,0,2936,0,2936,0,2936,0,2936,407,2936,0,2936,0,2936,0,2936,0,2936,0,2936,0,2936,0,2936,0,2936,0,2936,0,2936,"2,7k",2936,"2,3k"
2937,"49,432k",2937,"40,762k",2937,0,2937,0,2937,0,2937,0,2937,0,2937,0,2937,353,2937,0,2937,0,2937,0,2937,0,2937,0,2937,0,2937,0,2937,0,2937,0,2937,0,2937,"2,7k",2937,"2,3k"
2938,"49,123k",2938,"40,632k",2938,0,2938,0,2938,0,2938,0,2938,0,2938,0,2938,374,2938,0,2938,0,2938,0,2938,0,2938,0,2938,0,2938,0,2938,0,2938,0,2938,0,2938,"2,7k",2938,"2,3k"
2939,"49,693k",2939,"40,391k",2939,0,2939,0,2939,0,2939,0,2939,0,2939,0,2939,399,2939,0,2939,0,2939,0,2939,0,2939,0,2939,0,2939,0,2939,0,2939,0,2939,0,2939,"2,7k",2939,"2,3k"
2940,"49,112k",2940,"40,797k",2940,0,2940,0,2940,0,2940,0,2940,0,2940,0,2940,423,2940,0,2940,0,2940,0,2940,0,2940,0,2940,0,2940,0,2940,0,2940,0,2940,0,2940,"2,7k",2940,"2,3k"
2941,"49,441k",2941,"40,404k",2941,0,2941,0,2941,0,2941,0,2941,0,2941,0,2941,385,2941,0,2941,0,2941,0,2941,0,2941,0,2941,0,2941,0,2941,0,2941,0,2941,0,2941,"2,7k",2941,"2,3k"
2942,"49,32k",2942,"40,519k",2942,0,2942,0,2942,0,2942,0,2942,0,2942,0,2942,375,2942,0,2942,0,2942,0,2942,0,2942,0,2942,0,2942,0,2942,0,2942,0,2942,0,2942,"2,7k",2942,"2,3k"
2943,"49,029k",2943,"40,503k",2943,0,2943,0,2943,0,2943,0,2943,0,2943,0,2943,406,2943,0,2943,0,2943,0,2943,0,2943,0,2943,0,2943,0,2943,0,2943,0,2943,0,2943,"2,7k",2943,"2,3k"
2944,"48,856k",2944,"40,499k",2944,0,2944,0,2944,0,2944,0,2944,0,2944,0,2944,355,2944,0,2944,0,2944,0,2944,0,2944,0,2944,0,2944,0,2944,0,2944,0,2944,0,2944,"2,7k",2944,"2,3k"
2945,"49,367k",2945,"40,588k",2945,0,2945,0,2945,0,2945,0,2945,0,2945,0,2945,373,2945,0,2945,0,2945,0,2945,0,2945,0,2945,0,2945,0,2945,0,2945,0,2945,0,2945,"2,7k",2945,"2,3k"
2946,"49,386k",2946,"40,853k",2946,0,2946,0,2946,0,2946,0,2946,0,2946,0,2946,441,2946,0,2946,0,2946,0,2946,0,2946,0,2946,0,2946,0,2946,0,2946,0,2946,0,2946,"2,7k",2946,"2,3k"
2947,"49,221k",2947,"40,449k",2947,0,2947,0,2947,0,2947,0,2947,0,2947,0,2947,377,2947,0,2947,0,2947,0,2947,0,2947,0,2947,0,2947,0,2947,0,2947,0,2947,0,2947,"2,7k",2947,"2,3k"
2948,"48,907k",2948,"40,651k",2948,0,2948,0,2948,0,2948,0,2948,0,2948,0,2948,386,2948,0,2948,0,2948,0,2948,0,2948,0,2948,0,2948,0,2948,0,2948,0,2948,0,2948,"2,7k",2948,"2,3k"
2949,"48,939k",2949,"40,28k",2949,0,2949,0,2949,0,2949,0,2949,0,2949,0,2949,396,2949,0,2949,0,2949,0,2949,0,2949,0,2949,0,2949,0,2949,0,2949,0,2949,0,2949,"2,7k",2949,"2,3k"
2950,"48,993k",2950,"40,639k",2950,0,2950,0,2950,0,2950,0,2950,0,2950,0,2950,374,2950,0,2950,0,2950,0,2950,0,2950,0,2950,0,2950,0,2950,0,2950,0,2950,0,2950,"2,7k",2950,"2,3k"
2951,"49,095k",2951,"40,78k",2951,0,2951,0,2951,0,2951,0,2951,0,2951,0,2951,405,2951,0,2951,0,2951,0,2951,0,2951,0,2951,0,2951,0,2951,0,2951,0,2951,0,2951,"2,7k",2951,"2,3k"
2952,"49,486k",2952,"40,657k",2952,0,2952,0,2952,0,2952,0,2952,0,2952,0,2952,382,2952,0,2952,0,2952,0,2952,0,2952,0,2952,0,2952,0,2952,0,2952,0,2952,0,2952,"2,7k",2952,"2,3k"
2953,"49,25k",2953,"40,752k",2953,0,2953,0,2953,0,2953,0,2953,0,2953,0,2953,389,2953,0,2953,0,2953,0,2953,0,2953,0,2953,0,2953,0,2953,0,2953,0,2953,0,2953,"2,7k",2953,"2,3k"
2954,"49,248k",2954,"40,872k",2954,0,2954,0,2954,0,2954,0,2954,0,2954,0,2954,417,2954,0,2954,0,2954,0,2954,0,2954,0,2954,0,2954,0,2954,0,2954,0,2954,0,2954,"2,7k",2954,"2,3k"
