Time - Singles 1,Count rates (per second) - Singles 1,Time - Singles 2,Count rates (per second) - Singles 2,Time - Singles 3,Count rates (per second) - Singles 3,Time - Singles 4,Count rates (per second) - Singles 4,Time - Singles 5,Count rates (per second) - Singles 5,Time - Singles 6,Count rates (per second) - Singles 6,Time - Singles 7,Count rates (per second) - Singles 7,Time - Singles 8,Count rates (per second) - Singles 8,Time - Coinc 1+2,Count rates (per second) - Coinc 1+2,Time - Coinc 1+3,Count rates (per second) - Coinc 1+3,Time - Coinc 1+4,Count rates (per second) - Coinc 1+4,Time - Coinc 2+3,Count rates (per second) - Coinc 2+3,Time - Coinc 2+4,Count rates (per second) - Coinc 2+4,Time - Coinc 3+4,Count rates (per second) - Coinc 3+4,Time - Coinc 1+2+3,Count rates (per second) - Coinc 1+2+3,Time - Coinc 1+2+4,Count rates (per second) - Coinc 1+2+4,Time - Coinc 1+3+4,Count rates (per second) - Coinc 1+3+4,Time - Coinc 2+3+4,Count rates (per second) - Coinc 2+3+4,Time - Coinc 1+2+3+4,Count rates (per second) - Coinc 1+2+3+4,Time - Plot 19,Count rates (per second) - Plot 19,Time - Plot 20,Count rates (per second) - Plot 20
5738,"34,394k",5738,"27,156k",5738,0,5738,0,5738,0,5738,0,5738,0,5738,0,5738,10,5738,0,5738,0,5738,0,5738,0,5738,0,5738,0,5738,0,5738,0,5738,0,5738,0,5738,"2,7k",5738,"2,3k"
5739,"34,304k",5739,"27,463k",5739,0,5739,0,5739,0,5739,0,5739,0,5739,0,5739,11,5739,0,5739,0,5739,0,5739,0,5739,0,5739,0,5739,0,5739,0,5739,0,5739,0,5739,"2,7k",5739,"2,3k"
5740,"34,611k",5740,"27,184k",5740,0,5740,0,5740,0,5740,0,5740,0,5740,0,5740,11,5740,0,5740,0,5740,0,5740,0,5740,0,5740,0,5740,0,5740,0,5740,0,5740,0,5740,"2,7k",5740,"2,3k"
5741,"34,497k",5741,"27,639k",5741,0,5741,0,5741,0,5741,0,5741,0,5741,0,5741,10,5741,0,5741,0,5741,0,5741,0,5741,0,5741,0,5741,0,5741,0,5741,0,5741,0,5741,"2,7k",5741,"2,3k"
5742,"34,39k",5742,"27,205k",5742,0,5742,0,5742,0,5742,0,5742,0,5742,0,5742,9,5742,0,5742,0,5742,0,5742,0,5742,0,5742,0,5742,0,5742,0,5742,0,5742,0,5742,"2,7k",5742,"2,3k"
5743,"34,319k",5743,"27,217k",5743,0,5743,0,5743,0,5743,0,5743,0,5743,0,5743,5,5743,0,5743,0,5743,0,5743,0,5743,0,5743,0,5743,0,5743,0,5743,0,5743,0,5743,"2,7k",5743,"2,3k"
5744,"34,288k",5744,"27,431k",5744,0,5744,0,5744,0,5744,0,5744,0,5744,0,5744,10,5744,0,5744,0,5744,0,5744,0,5744,0,5744,0,5744,0,5744,0,5744,0,5744,0,5744,"2,7k",5744,"2,3k"
5745,"34,012k",5745,"27,462k",5745,0,5745,0,5745,0,5745,0,5745,0,5745,0,5745,6,5745,0,5745,0,5745,0,5745,0,5745,0,5745,0,5745,0,5745,0,5745,0,5745,0,5745,"2,7k",5745,"2,3k"
5746,"34,406k",5746,"27,366k",5746,0,5746,0,5746,0,5746,0,5746,0,5746,0,5746,5,5746,0,5746,0,5746,0,5746,0,5746,0,5746,0,5746,0,5746,0,5746,0,5746,0,5746,"2,7k",5746,"2,3k"
5747,"34,487k",5747,"27,468k",5747,0,5747,0,5747,0,5747,0,5747,0,5747,0,5747,13,5747,0,5747,0,5747,0,5747,0,5747,0,5747,0,5747,0,5747,0,5747,0,5747,0,5747,"2,7k",5747,"2,3k"
