t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.300005
"176,367p",0.550009
"352,734p",0.725012
"529,101p",0.725012
"705,467p",0.60001
"881,834p",0.775013
"1,0582n",0.750012
"1,23457n",0.60001
"1,41093n",0.875014
"1,5873n",0.500008
"1,76367n",0.775013
"1,94004n",0.650011
"2,1164n",0.850014
"2,29277n",0.750012
"2,46914n",0.925015
"2,6455n",0.800013
"2,82187n",1.27502
"2,99824n",1.10002
"3,1746n",1.30002
"3,35097n",2.00003
"3,52734n",2.55004
"3,7037n",3.90006
"3,88007n",5.05008
"4,05644n",7.97513
"4,2328n",7.05012
"4,40917n",6.87511
"4,58554n",5.65009
"4,7619n",3.82506
"4,93827n",2.00003
"5,11464n",1.30002
"5,29101n",1.22502
"5,46737n",0.525009
"5,64374n",0.62501
"5,82011n",0.650011
"5,99647n",0.425007
"6,17284n",0.525009
"6,34921n",0.750012
"6,52557n",0.500008
"6,70194n",0.60001
"6,87831n",0.525009
"7,05467n",0.575009
"7,23104n",0.675011
"7,40741n",0.62501
"7,58377n",0.725012
"7,76014n",0.700011
"7,93651n",0.700011
"8,11287n",0.850014
"8,28924n",0.575009
"8,46561n",0.900015
"8,64198n",0.750012
"8,81834n",0.750012
"8,99471n",0.650011
"9,17108n",0.525009
"9,34744n",0.450007
"9,52381n",0.675011
"9,70018n",0.825014
"9,87654n",0.62501
