t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,1.80491
"176,367p",6.5123
"352,734p",6.70743
"529,101p",7.65866
"705,467p",6.48791
"881,834p",6.56108
"1,0582n",6.58547
"1,23457n",7.41476
"1,41093n",6.92694
"1,5873n",6.95133
"1,76367n",7.24402
"1,94004n",8.43916
"2,1164n",7.90257
"2,29277n",11.1709
"2,46914n",16.61
"2,6455n",29.22
"2,82187n",54.757
"2,99824n",98.4163
"3,1746n",171.32
"3,35097n",297.176
"3,52734n",483.715
"3,7037n",717.914
"3,88007n",1037.65
"4,05644n",1357.29
"4,2328n",1469.56
"4,40917n",1339.34
"4,58554n",1028.85
"4,7619n",737.378
"4,93827n",502.325
"5,11464n",344.493
"5,29101n",224.613
"5,46737n",148.441
"5,64374n",95.5382
"5,82011n",65.4889
"5,99647n",44.7812
"6,17284n",31.9517
"6,34921n",25.3907
"6,52557n",20.1955
"6,70194n",15.6832
"6,87831n",12.9027
"7,05467n",10.6831
"7,23104n",9.34162
"7,40741n",9.70748
"7,58377n",7.95135
"7,76014n",7.53671
"7,93651n",6.85377
"8,11287n",7.43915
"8,28924n",6.97572
"8,46561n",7.00011
"8,64198n",6.17083
"8,81834n",6.0001
"8,99471n",6.39035
"9,17108n",5.97571
"9,34744n",7.60988
"9,52381n",5.65863
"9,70018n",6.36596
"9,87654n",6.53669
