fecha de inicio :	2022-02-17
hora de inicio :	12:59:25,04285
tasa de muestreo :	100 Hz
	
tiempo desde inicio (s)	voltaje (V)
0,00000	0,79590
0,01004	0,79590
0,02009	0,79102
0,03013	0,80078
0,04017	0,79102
0,05021	0,79590
0,06026	0,80078
0,07030	0,79590
0,08034	0,79590
0,09039	0,79590
0,10043	0,79102
0,11047	0,79590
0,12051	0,79102
0,13056	0,80078
0,14060	0,79590
0,15064	0,80078
0,16068	0,80566
0,17073	0,80078
0,18077	0,79102
0,19081	0,79590
0,20086	0,80078
0,21090	0,80078
0,22094	0,79590
0,23098	0,79590
0,24103	0,79590
0,25107	0,80078
0,26111	0,79102
0,27116	0,79102
0,28120	0,79102
0,29124	0,79102
0,30128	0,79102
0,31133	0,79590
0,32137	0,79102
0,33141	0,79102
0,34145	0,79102
0,35150	0,79102
0,36154	0,79102
0,37158	0,80078
0,38163	0,79590
0,39167	0,80078
0,40171	0,80078
0,41175	0,79590
0,42180	0,80078
0,43184	0,79590
0,44188	0,79590
0,45193	0,80078
0,46197	0,79102
0,47201	0,80078
0,48205	0,79590
0,49210	0,80078
0,50214	0,80078
0,51218	0,79590
0,52222	0,79590
0,53227	0,79102
0,54231	0,80078
0,55235	0,79590
0,56240	0,80078
0,57244	0,79590
0,58248	0,79590
0,59252	0,79590
0,60257	0,79590
0,61261	0,80078
0,62265	0,79590
0,63270	0,79102
0,64274	0,80078
0,65278	0,79590
0,66282	0,79590
0,67287	0,79590
0,68291	0,79590
0,69295	0,80078
0,70299	0,80078
0,71304	0,79590
0,72308	0,80078
0,73312	0,79590
0,74317	0,80078
0,75321	0,79590
0,76325	0,79590
0,77329	0,80078
0,78334	0,79102
0,79338	0,79590
0,80342	0,79590
0,81347	0,79590
0,82351	0,79590
0,83355	0,80078
0,84359	0,79590
0,85364	0,80078
0,86368	0,79590
0,87372	0,79590
0,88376	0,80078
0,89381	0,79102
0,90385	0,80078
0,91389	0,80078
0,92394	0,79590
0,93398	0,79590
0,94402	0,79590
0,95406	0,80078
0,96411	0,79590
0,97415	0,79590
0,98419	0,79590
0,99424	0,79102
1,00428	0,79590
1,01432	0,79590
1,02436	0,80078
1,03441	0,79590
1,04445	0,79590
1,05449	0,79590
1,06453	0,79590
1,07458	0,79590
1,08462	0,79590
1,09466	0,80078
1,10471	0,79590
1,11475	0,79590
