t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0
"176,367p",0
"352,734p",0
"529,101p",0.0243901
"705,467p",0.0487803
"881,834p",0
"1,0582n",0
"1,23457n",0
"1,41093n",0
"1,5873n",0.0731704
"1,76367n",0.0731704
"1,94004n",0.0975606
"2,1164n",0.146341
"2,29277n",0.170731
"2,46914n",0.317072
"2,6455n",0.219511
"2,82187n",0.439022
"2,99824n",0.439022
"3,1746n",0.463413
"3,35097n",1.2439
"3,52734n",1.70731
"3,7037n",2.34145
"3,88007n",4.56096
"4,05644n",5.04876
"4,2328n",5.87802
"4,40917n",5.29266
"4,58554n",3.07316
"4,7619n",1.82926
"4,93827n",1.14634
"5,11464n",0.536583
"5,29101n",0.243901
"5,46737n",0.170731
"5,64374n",0.0243901
"5,82011n",0.0731704
"5,99647n",0.0243901
"6,17284n",0
"6,34921n",0
"6,52557n",0.0243901
"6,70194n",0
"6,87831n",0
"7,05467n",0
"7,23104n",0
"7,40741n",0
"7,58377n",0.0487803
"7,76014n",0.0243901
"7,93651n",0.0243901
"8,11287n",0
"8,28924n",0
"8,46561n",0
"8,64198n",0.0243901
"8,81834n",0
"8,99471n",0
"9,17108n",0
"9,34744n",0.0243901
"9,52381n",0.0243901
"9,70018n",0
"9,87654n",0.0243901
