fecha de inicio :	2022-02-17
hora de inicio :	13:52:44,76288
tasa de muestreo :	100 Hz
	
tiempo desde inicio (s)	voltaje (V)
0,00000	0,27832
0,01004	0,27832
0,02008	0,28320
0,03012	0,27832
0,04016	0,28320
0,05021	0,27832
0,06025	0,27832
0,07029	0,28320
0,08033	0,27344
0,09037	0,27832
0,10041	0,28320
0,11045	0,29297
0,12049	0,28320
0,13053	0,28320
0,14057	0,28320
0,15062	0,28320
0,16066	0,28320
0,17070	0,27832
0,18074	0,27832
0,19078	0,28320
0,20082	0,28320
0,21086	0,27832
0,22090	0,27832
0,23094	0,28320
0,24098	0,28320
0,25103	0,28809
0,26107	0,28320
0,27111	0,28320
0,28115	0,28320
0,29119	0,28320
0,30123	0,28320
0,31127	0,28320
0,32131	0,28320
0,33135	0,28320
0,34139	0,28809
0,35144	0,28320
0,36148	0,28320
0,37152	0,28320
0,38156	0,28320
0,39160	0,28320
0,40164	0,27832
0,41168	0,27832
0,42172	0,27832
0,43176	0,28809
0,44180	0,27832
0,45185	0,28320
0,46189	0,28320
0,47193	0,27344
0,48197	0,28809
0,49201	0,28320
0,50205	0,27832
0,51209	0,28320
0,52213	0,28320
0,53217	0,28320
0,54221	0,28809
0,55226	0,28809
0,56230	0,27344
0,57234	0,27832
0,58238	0,27832
0,59242	0,27832
0,60246	0,28320
0,61250	0,28320
0,62254	0,29297
0,63258	0,28320
0,64262	0,28320
0,65267	0,28320
0,66271	0,27344
0,67275	0,28320
0,68279	0,28320
0,69283	0,27832
0,70287	0,27832
0,71291	0,27832
0,72295	0,27832
0,73299	0,28320
0,74303	0,28320
0,75308	0,28809
0,76312	0,28809
0,77316	0,28320
0,78320	0,28320
0,79324	0,27832
0,80328	0,27832
0,81332	0,28320
0,82336	0,28320
0,83340	0,28320
0,84344	0,27832
0,85349	0,28320
0,86353	0,27832
0,87357	0,29297
0,88361	0,28320
0,89365	0,28320
0,90369	0,28320
0,91373	0,27832
0,92377	0,28320
0,93381	0,28320
0,94385	0,27832
0,95390	0,26855
0,96394	0,28320
0,97398	0,27832
0,98402	0,28320
0,99406	0,27832
1,00410	0,27832
1,01414	0,28320
1,02418	0,28320
1,03422	0,28320
1,04426	0,28809
1,05431	0,27832
1,06435	0,27832
1,07439	0,26855
1,08443	0,28809
1,09447	0,28320
1,10451	0,28320
1,11455	0,28320
1,12459	0,28320
1,13463	0,28320
1,14467	0,27832
1,15472	0,27832
1,16476	0,28809
1,17480	0,27832
1,18484	0,27832
1,19488	0,27832
1,20492	0,27832
1,21496	0,28320
1,22500	0,28809
1,23504	0,29297
1,24508	0,28320
1,25513	0,27832
1,26517	0,28320
1,27521	0,28320
1,28525	0,28320
1,29529	0,28320
1,30533	0,27344
1,31537	0,28320
1,32541	0,27832
1,33545	0,28320
1,34549	0,28320
1,35554	0,27832
1,36558	0,27832
1,37562	0,28320
