Time - Singles 1,Count rates (per second) - Singles 1,Time - Singles 2,Count rates (per second) - Singles 2,Time - Singles 3,Count rates (per second) - Singles 3,Time - Singles 4,Count rates (per second) - Singles 4,Time - Singles 5,Count rates (per second) - Singles 5,Time - Singles 6,Count rates (per second) - Singles 6,Time - Singles 7,Count rates (per second) - Singles 7,Time - Singles 8,Count rates (per second) - Singles 8,Time - Coinc 1+2,Count rates (per second) - Coinc 1+2,Time - Coinc 1+3,Count rates (per second) - Coinc 1+3,Time - Coinc 1+4,Count rates (per second) - Coinc 1+4,Time - Coinc 2+3,Count rates (per second) - Coinc 2+3,Time - Coinc 2+4,Count rates (per second) - Coinc 2+4,Time - Coinc 3+4,Count rates (per second) - Coinc 3+4,Time - Coinc 1+2+3,Count rates (per second) - Coinc 1+2+3,Time - Coinc 1+2+4,Count rates (per second) - Coinc 1+2+4,Time - Coinc 1+3+4,Count rates (per second) - Coinc 1+3+4,Time - Coinc 2+3+4,Count rates (per second) - Coinc 2+3+4,Time - Coinc 1+2+3+4,Count rates (per second) - Coinc 1+2+3+4,Time - Plot 19,Count rates (per second) - Plot 19,Time - Plot 20,Count rates (per second) - Plot 20
5504,"50,574k",5504,"46,996k",5504,0,5504,0,5504,0,5504,0,5504,0,5504,0,5504,"2,299k",5504,0,5504,0,5504,0,5504,0,5504,0,5504,0,5504,0,5504,0,5504,0,5504,0,5504,"2,7k",5504,"2,3k"
5505,"50,865k",5505,"47,016k",5505,0,5505,0,5505,0,5505,0,5505,0,5505,0,5505,"2,334k",5505,0,5505,0,5505,0,5505,0,5505,0,5505,0,5505,0,5505,0,5505,0,5505,0,5505,"2,7k",5505,"2,3k"
5506,"50,746k",5506,"46,867k",5506,0,5506,0,5506,0,5506,0,5506,0,5506,0,5506,"2,296k",5506,0,5506,0,5506,0,5506,0,5506,0,5506,0,5506,0,5506,0,5506,0,5506,0,5506,"2,7k",5506,"2,3k"
5507,"50,984k",5507,"47,055k",5507,0,5507,0,5507,0,5507,0,5507,0,5507,0,5507,"2,206k",5507,0,5507,0,5507,0,5507,0,5507,0,5507,0,5507,0,5507,0,5507,0,5507,0,5507,"2,7k",5507,"2,3k"
5508,"50,362k",5508,"46,938k",5508,0,5508,0,5508,0,5508,0,5508,0,5508,0,5508,"2,22k",5508,0,5508,0,5508,0,5508,0,5508,0,5508,0,5508,0,5508,0,5508,0,5508,0,5508,"2,7k",5508,"2,3k"
5509,"50,423k",5509,"46,49k",5509,0,5509,0,5509,0,5509,0,5509,0,5509,0,5509,"2,117k",5509,0,5509,0,5509,0,5509,0,5509,0,5509,0,5509,0,5509,0,5509,0,5509,0,5509,"2,7k",5509,"2,3k"
5510,"50,516k",5510,"46,908k",5510,0,5510,0,5510,0,5510,0,5510,0,5510,0,5510,"2,23k",5510,0,5510,0,5510,0,5510,0,5510,0,5510,0,5510,0,5510,0,5510,0,5510,0,5510,"2,7k",5510,"2,3k"
5511,"50,999k",5511,"46,698k",5511,0,5511,0,5511,0,5511,0,5511,0,5511,0,5511,"2,262k",5511,0,5511,0,5511,0,5511,0,5511,0,5511,0,5511,0,5511,0,5511,0,5511,0,5511,"2,7k",5511,"2,3k"
5512,"50,641k",5512,"46,675k",5512,0,5512,0,5512,0,5512,0,5512,0,5512,0,5512,"2,227k",5512,0,5512,0,5512,0,5512,0,5512,0,5512,0,5512,0,5512,0,5512,0,5512,0,5512,"2,7k",5512,"2,3k"
5513,"50,945k",5513,"46,576k",5513,0,5513,0,5513,0,5513,0,5513,0,5513,0,5513,"2,288k",5513,0,5513,0,5513,0,5513,0,5513,0,5513,0,5513,0,5513,0,5513,0,5513,0,5513,"2,7k",5513,"2,3k"
