Time - Singles 1,Count rates (per second) - Singles 1,Time - Singles 2,Count rates (per second) - Singles 2,Time - Singles 3,Count rates (per second) - Singles 3,Time - Singles 4,Count rates (per second) - Singles 4,Time - Singles 5,Count rates (per second) - Singles 5,Time - Singles 6,Count rates (per second) - Singles 6,Time - Singles 7,Count rates (per second) - Singles 7,Time - Singles 8,Count rates (per second) - Singles 8,Time - Coinc 1+2,Count rates (per second) - Coinc 1+2,Time - Coinc 1+3,Count rates (per second) - Coinc 1+3,Time - Coinc 1+4,Count rates (per second) - Coinc 1+4,Time - Coinc 2+3,Count rates (per second) - Coinc 2+3,Time - Coinc 2+4,Count rates (per second) - Coinc 2+4,Time - Coinc 3+4,Count rates (per second) - Coinc 3+4,Time - Coinc 1+2+3,Count rates (per second) - Coinc 1+2+3,Time - Coinc 1+2+4,Count rates (per second) - Coinc 1+2+4,Time - Coinc 1+3+4,Count rates (per second) - Coinc 1+3+4,Time - Coinc 2+3+4,Count rates (per second) - Coinc 2+3+4,Time - Coinc 1+2+3+4,Count rates (per second) - Coinc 1+2+3+4,Time - Plot 19,Count rates (per second) - Plot 19,Time - Plot 20,Count rates (per second) - Plot 20
7738,"1,168k",7738,"1,158k",7738,0,7738,0,7738,0,7738,0,7738,0,7738,0,7738,0,7738,0,7738,0,7738,0,7738,0,7738,0,7738,0,7738,0,7738,0,7738,0,7738,0,7738,"2,7k",7738,"2,3k"
7739,"1,093k",7739,"1,1k",7739,0,7739,0,7739,0,7739,0,7739,0,7739,0,7739,0,7739,0,7739,0,7739,0,7739,0,7739,0,7739,0,7739,0,7739,0,7739,0,7739,0,7739,"2,7k",7739,"2,3k"
7740,"1,083k",7740,"1,076k",7740,0,7740,0,7740,0,7740,0,7740,0,7740,0,7740,0,7740,0,7740,0,7740,0,7740,0,7740,0,7740,0,7740,0,7740,0,7740,0,7740,0,7740,"2,7k",7740,"2,3k"
7741,"1,165k",7741,"1,063k",7741,0,7741,0,7741,0,7741,0,7741,0,7741,0,7741,0,7741,0,7741,0,7741,0,7741,0,7741,0,7741,0,7741,0,7741,0,7741,0,7741,0,7741,"2,7k",7741,"2,3k"
7742,"1,17k",7742,"1,133k",7742,0,7742,0,7742,0,7742,0,7742,0,7742,0,7742,0,7742,0,7742,0,7742,0,7742,0,7742,0,7742,0,7742,0,7742,0,7742,0,7742,0,7742,"2,7k",7742,"2,3k"
7743,"1,181k",7743,"1,093k",7743,0,7743,0,7743,0,7743,0,7743,0,7743,0,7743,0,7743,0,7743,0,7743,0,7743,0,7743,0,7743,0,7743,0,7743,0,7743,0,7743,0,7743,"2,7k",7743,"2,3k"
7744,"1,101k",7744,"1,117k",7744,0,7744,0,7744,0,7744,0,7744,0,7744,0,7744,0,7744,0,7744,0,7744,0,7744,0,7744,0,7744,0,7744,0,7744,0,7744,0,7744,0,7744,"2,7k",7744,"2,3k"
7745,"1,192k",7745,"1,168k",7745,0,7745,0,7745,0,7745,0,7745,0,7745,0,7745,0,7745,0,7745,0,7745,0,7745,0,7745,0,7745,0,7745,0,7745,0,7745,0,7745,0,7745,"2,7k",7745,"2,3k"
7746,"1,141k",7746,"1,124k",7746,0,7746,0,7746,0,7746,0,7746,0,7746,0,7746,0,7746,0,7746,0,7746,0,7746,0,7746,0,7746,0,7746,0,7746,0,7746,0,7746,0,7746,"2,7k",7746,"2,3k"
7747,"1,143k",7747,"1,119k",7747,0,7747,0,7747,0,7747,0,7747,0,7747,0,7747,0,7747,0,7747,0,7747,0,7747,0,7747,0,7747,0,7747,0,7747,0,7747,0,7747,0,7747,"2,7k",7747,"2,3k"
7748,"1,05k",7748,"1,043k",7748,0,7748,0,7748,0,7748,0,7748,0,7748,0,7748,0,7748,0,7748,0,7748,0,7748,0,7748,0,7748,0,7748,0,7748,0,7748,0,7748,0,7748,"2,7k",7748,"2,3k"
7749,"1,092k",7749,"1,104k",7749,0,7749,0,7749,0,7749,0,7749,0,7749,0,7749,0,7749,0,7749,0,7749,0,7749,0,7749,0,7749,0,7749,0,7749,0,7749,0,7749,0,7749,"2,7k",7749,"2,3k"
7750,"1,144k",7750,"1,112k",7750,0,7750,0,7750,0,7750,0,7750,0,7750,0,7750,0,7750,0,7750,0,7750,0,7750,0,7750,0,7750,0,7750,0,7750,0,7750,0,7750,0,7750,"2,7k",7750,"2,3k"
7751,"1,141k",7751,"1,057k",7751,0,7751,0,7751,0,7751,0,7751,0,7751,0,7751,0,7751,0,7751,0,7751,0,7751,0,7751,0,7751,0,7751,0,7751,0,7751,0,7751,0,7751,"2,7k",7751,"2,3k"
7752,"1,09k",7752,"1,098k",7752,0,7752,0,7752,0,7752,0,7752,0,7752,0,7752,0,7752,0,7752,0,7752,0,7752,0,7752,0,7752,0,7752,0,7752,0,7752,0,7752,0,7752,"2,7k",7752,"2,3k"
7753,"1,129k",7753,"1,104k",7753,0,7753,0,7753,0,7753,0,7753,0,7753,0,7753,0,7753,0,7753,0,7753,0,7753,0,7753,0,7753,0,7753,0,7753,0,7753,0,7753,0,7753,"2,7k",7753,"2,3k"
7754,"1,106k",7754,"1,066k",7754,0,7754,0,7754,0,7754,0,7754,0,7754,0,7754,0,7754,0,7754,0,7754,0,7754,0,7754,0,7754,0,7754,0,7754,0,7754,0,7754,0,7754,"2,7k",7754,"2,3k"
7755,966,7755,962,7755,0,7755,0,7755,0,7755,0,7755,0,7755,0,7755,0,7755,0,7755,0,7755,0,7755,0,7755,0,7755,0,7755,0,7755,0,7755,0,7755,0,7755,"2,7k",7755,"2,3k"
7756,"1,046k",7756,"1,137k",7756,0,7756,0,7756,0,7756,0,7756,0,7756,0,7756,0,7756,0,7756,0,7756,0,7756,0,7756,0,7756,0,7756,0,7756,0,7756,0,7756,0,7756,"2,7k",7756,"2,3k"
7757,946,7757,"1,012k",7757,0,7757,0,7757,0,7757,0,7757,0,7757,0,7757,0,7757,0,7757,0,7757,0,7757,0,7757,0,7757,0,7757,0,7757,0,7757,0,7757,0,7757,"2,7k",7757,"2,3k"
7758,957,7758,"1,013k",7758,0,7758,0,7758,0,7758,0,7758,0,7758,0,7758,0,7758,0,7758,0,7758,0,7758,0,7758,0,7758,0,7758,0,7758,0,7758,0,7758,0,7758,"2,7k",7758,"2,3k"
7759,945,7759,"1,033k",7759,0,7759,0,7759,0,7759,0,7759,0,7759,0,7759,0,7759,0,7759,0,7759,0,7759,0,7759,0,7759,0,7759,0,7759,0,7759,0,7759,0,7759,"2,7k",7759,"2,3k"
7760,995,7760,"1,024k",7760,0,7760,0,7760,0,7760,0,7760,0,7760,0,7760,0,7760,0,7760,0,7760,0,7760,0,7760,0,7760,0,7760,0,7760,0,7760,0,7760,0,7760,"2,7k",7760,"2,3k"
7761,966,7761,"1,022k",7761,0,7761,0,7761,0,7761,0,7761,0,7761,0,7761,0,7761,0,7761,0,7761,0,7761,0,7761,0,7761,0,7761,0,7761,0,7761,0,7761,0,7761,"2,7k",7761,"2,3k"
7762,"1,016k",7762,"1,003k",7762,0,7762,0,7762,0,7762,0,7762,0,7762,0,7762,0,7762,0,7762,0,7762,0,7762,0,7762,0,7762,0,7762,0,7762,0,7762,0,7762,0,7762,"2,7k",7762,"2,3k"
7763,"1,044k",7763,"1,043k",7763,0,7763,0,7763,0,7763,0,7763,0,7763,0,7763,0,7763,0,7763,0,7763,0,7763,0,7763,0,7763,0,7763,0,7763,0,7763,0,7763,0,7763,"2,7k",7763,"2,3k"
7764,963,7764,"1,016k",7764,0,7764,0,7764,0,7764,0,7764,0,7764,0,7764,0,7764,0,7764,0,7764,0,7764,0,7764,0,7764,0,7764,0,7764,0,7764,0,7764,0,7764,"2,7k",7764,"2,3k"
7765,978,7765,996,7765,0,7765,0,7765,0,7765,0,7765,0,7765,0,7765,0,7765,0,7765,0,7765,0,7765,0,7765,0,7765,0,7765,0,7765,0,7765,0,7765,0,7765,"2,7k",7765,"2,3k"
7766,944,7766,"1,006k",7766,0,7766,0,7766,0,7766,0,7766,0,7766,0,7766,0,7766,0,7766,0,7766,0,7766,0,7766,0,7766,0,7766,0,7766,0,7766,0,7766,0,7766,"2,7k",7766,"2,3k"
7767,921,7767,"1,045k",7767,0,7767,0,7767,0,7767,0,7767,0,7767,0,7767,0,7767,0,7767,0,7767,0,7767,0,7767,0,7767,0,7767,0,7767,0,7767,0,7767,0,7767,"2,7k",7767,"2,3k"
