t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,1.61109
"176,367p",5.77513
"352,734p",5.42812
"529,101p",5.52727
"705,467p",6.14692
"881,834p",5.84949
"1,0582n",6.29563
"1,23457n",5.18026
"1,41093n",6.54349
"1,5873n",6.1717
"1,76367n",7.21271
"1,94004n",6.39478
"2,1164n",8.92294
"2,29277n",11.922
"2,46914n",19.2835
"2,6455n",33.932
"2,82187n",65.0136
"2,99824n",115.23
"3,1746n",204.782
"3,35097n",365.94
"3,52734n",573.126
"3,7037n",845.052
"3,88007n",1186.6
"4,05644n",1507.28
"4,2328n",1579.76
"4,40917n",1386.63
"4,58554n",1034.14
"4,7619n",705.582
"4,93827n",470.14
"5,11464n",306.949
"5,29101n",200.196
"5,46737n",131.861
"5,64374n",87.6927
"5,82011n",60.8495
"5,99647n",38.4678
"6,17284n",28.4543
"6,34921n",21.9108
"6,52557n",18.9613
"6,70194n",14.1032
"6,87831n",12.74
"7,05467n",10.7819
"7,23104n",9.09645
"7,40741n",8.4768
"7,58377n",7.38621
"7,76014n",6.27085
"7,93651n",6.71699
"8,11287n",5.72556
"8,28924n",5.89906
"8,46561n",5.45291
"8,64198n",5.77513
"8,81834n",5.70077
"8,99471n",5.32898
"9,17108n",5.55205
"9,34744n",5.42812
"9,52381n",6.29563
"9,70018n",5.57684
"9,87654n",5.50248
