t (s) - HBT Measurement,Start-Stop Historam (events per second) - HBT Measurement
0,0.463415
"176,367p",1.7561
"352,734p",1.53659
"529,101p",1.5122
"705,467p",1.70732
"881,834p",1.39024
"1,0582n",1.65854
"1,23457n",1.39024
"1,41093n",1.70732
"1,5873n",2.12195
"1,76367n",1.7561
"1,94004n",2.48781
"2,1164n",2.60976
"2,29277n",3.70732
"2,46914n",5.26829
"2,6455n",9.46342
"2,82187n",17.7805
"2,99824n",34.3659
"3,1746n",59.9024
"3,35097n",113.293
"3,52734n",201.415
"3,7037n",332.512
"3,88007n",526.22
"4,05644n",736.098
"4,2328n",819.976
"4,40917n",735.781
"4,58554n",527.585
"4,7619n",345.585
"4,93827n",216.829
"5,11464n",137.902
"5,29101n",88.8781
"5,46737n",54.8293
"5,64374n",37.6829
"5,82011n",26.7805
"5,99647n",18.1951
"6,17284n",13.0488
"6,34921n",10.0976
"6,52557n",6.82927
"6,70194n",5.65854
"6,87831n",4.90244
"7,05467n",3.39024
"7,23104n",2.56098
"7,40741n",3.14634
"7,58377n",2.14634
"7,76014n",2.34146
"7,93651n",1.87805
"8,11287n",2.2439
"8,28924n",1.7561
"8,46561n",1.7561
"8,64198n",1.63415
"8,81834n",1.5122
"8,99471n",1.78049
"9,17108n",1.58537
"9,34744n",1.19512
"9,52381n",1.68293
"9,70018n",1.58537
"9,87654n",1.70732
