Time - Singles 1,Count rates (per second) - Singles 1,Time - Singles 2,Count rates (per second) - Singles 2,Time - Singles 3,Count rates (per second) - Singles 3,Time - Singles 4,Count rates (per second) - Singles 4,Time - Singles 5,Count rates (per second) - Singles 5,Time - Singles 6,Count rates (per second) - Singles 6,Time - Singles 7,Count rates (per second) - Singles 7,Time - Singles 8,Count rates (per second) - Singles 8,Time - Coinc 1+2,Count rates (per second) - Coinc 1+2,Time - Coinc 1+3,Count rates (per second) - Coinc 1+3,Time - Coinc 1+4,Count rates (per second) - Coinc 1+4,Time - Coinc 2+3,Count rates (per second) - Coinc 2+3,Time - Coinc 2+4,Count rates (per second) - Coinc 2+4,Time - Coinc 3+4,Count rates (per second) - Coinc 3+4,Time - Coinc 1+2+3,Count rates (per second) - Coinc 1+2+3,Time - Coinc 1+2+4,Count rates (per second) - Coinc 1+2+4,Time - Coinc 1+3+4,Count rates (per second) - Coinc 1+3+4,Time - Coinc 2+3+4,Count rates (per second) - Coinc 2+3+4,Time - Coinc 1+2+3+4,Count rates (per second) - Coinc 1+2+3+4,Time - Plot 19,Count rates (per second) - Plot 19,Time - Plot 20,Count rates (per second) - Plot 20
5345,"62,129k",5345,"57,707k",5345,0,5345,0,5345,0,5345,0,5345,0,5345,0,5345,"2,748k",5345,0,5345,0,5345,0,5345,0,5345,0,5345,0,5345,0,5345,0,5345,0,5345,0,5345,"2,7k",5345,"2,3k"
5346,"62,384k",5346,"57,827k",5346,0,5346,0,5346,0,5346,0,5346,0,5346,0,5346,"2,749k",5346,0,5346,0,5346,0,5346,0,5346,0,5346,0,5346,0,5346,0,5346,0,5346,0,5346,"2,7k",5346,"2,3k"
5347,"62,701k",5347,"57,963k",5347,0,5347,0,5347,0,5347,0,5347,0,5347,0,5347,"2,757k",5347,0,5347,0,5347,0,5347,0,5347,0,5347,0,5347,0,5347,0,5347,0,5347,0,5347,"2,7k",5347,"2,3k"
5348,"61,759k",5348,"57,551k",5348,0,5348,0,5348,0,5348,0,5348,0,5348,0,5348,"2,737k",5348,0,5348,0,5348,0,5348,0,5348,0,5348,0,5348,0,5348,0,5348,0,5348,0,5348,"2,7k",5348,"2,3k"
5349,"61,925k",5349,"57,657k",5349,0,5349,0,5349,0,5349,0,5349,0,5349,0,5349,"2,632k",5349,0,5349,0,5349,0,5349,0,5349,0,5349,0,5349,0,5349,0,5349,0,5349,0,5349,"2,7k",5349,"2,3k"
5350,"62,244k",5350,"57,998k",5350,0,5350,0,5350,0,5350,0,5350,0,5350,0,5350,"2,747k",5350,0,5350,0,5350,0,5350,0,5350,0,5350,0,5350,0,5350,0,5350,0,5350,0,5350,"2,7k",5350,"2,3k"
5351,"62,485k",5351,"58,253k",5351,0,5351,0,5351,0,5351,0,5351,0,5351,0,5351,"2,82k",5351,0,5351,0,5351,0,5351,0,5351,0,5351,0,5351,0,5351,0,5351,0,5351,0,5351,"2,7k",5351,"2,3k"
5352,"62,255k",5352,"58,086k",5352,0,5352,0,5352,0,5352,0,5352,0,5352,0,5352,"2,75k",5352,0,5352,0,5352,0,5352,0,5352,0,5352,0,5352,0,5352,0,5352,0,5352,0,5352,"2,7k",5352,"2,3k"
5353,"62,27k",5353,"57,98k",5353,0,5353,0,5353,0,5353,0,5353,0,5353,0,5353,"2,744k",5353,0,5353,0,5353,0,5353,0,5353,0,5353,0,5353,0,5353,0,5353,0,5353,0,5353,"2,7k",5353,"2,3k"
5354,"62,406k",5354,"58,038k",5354,0,5354,0,5354,0,5354,0,5354,0,5354,0,5354,"2,784k",5354,0,5354,0,5354,0,5354,0,5354,0,5354,0,5354,0,5354,0,5354,0,5354,0,5354,"2,7k",5354,"2,3k"
