fecha de inicio :	2022-02-17
hora de inicio :	13:26:37,27844
tasa de muestreo :	100 Hz
	
tiempo desde inicio (s)	voltaje (V)
0,00000	0,27832
0,01015	0,28320
0,02031	0,27832
0,03046	0,27832
0,04061	0,28320
0,05076	0,27344
0,06092	0,27832
0,07107	0,28320
0,08122	0,27832
0,09137	0,28320
0,10153	0,26855
0,11168	0,27832
0,12183	0,27832
0,13198	0,27832
0,14214	0,28320
0,15229	0,27832
0,16244	0,28320
0,17260	0,27832
0,18275	0,27344
0,19290	0,27344
0,20305	0,27832
0,21321	0,28320
0,22336	0,27832
0,23351	0,28320
0,24366	0,27832
0,25382	0,27832
0,26397	0,27344
0,27412	0,27832
0,28427	0,27832
0,29443	0,28320
0,30458	0,27832
0,31473	0,26367
0,32488	0,27832
0,33504	0,28320
0,34519	0,27832
0,35534	0,27832
0,36550	0,28320
0,37565	0,28320
0,38580	0,27832
0,39595	0,27832
0,40611	0,27832
0,41626	0,27832
0,42641	0,27832
0,43656	0,27832
0,44672	0,27832
0,45687	0,28320
0,46702	0,27832
0,47717	0,27832
0,48733	0,27832
0,49748	0,27832
0,50763	0,27832
0,51779	0,27832
0,52794	0,27832
0,53809	0,27344
0,54824	0,27832
0,55840	0,27832
0,56855	0,27832
0,57870	0,27832
0,58885	0,27832
0,59901	0,28320
0,60916	0,28320
0,61931	0,27832
0,62946	0,27832
0,63962	0,27832
0,64977	0,28320
0,65992	0,28320
0,67008	0,27344
0,68023	0,27832
0,69038	0,27344
0,70053	0,27832
0,71069	0,27832
0,72084	0,28320
0,73099	0,27832
0,74114	0,27832
0,75130	0,27832
0,76145	0,27832
0,77160	0,27344
0,78175	0,28320
0,79191	0,28320
0,80206	0,27832
0,81221	0,27832
0,82236	0,27832
0,83252	0,27832
0,84267	0,27832
0,85282	0,27832
0,86298	0,28320
0,87313	0,27832
0,88328	0,28320
0,89343	0,27832
0,90359	0,27832
0,91374	0,28320
0,92389	0,26855
0,93404	0,27832
0,94420	0,27832
0,95435	0,27832
0,96450	0,27832
0,97465	0,27832
0,98481	0,28320
0,99496	0,27832
1,00511	0,27832
1,01527	0,27832
1,02542	0,27832
1,03557	0,27832
1,04572	0,29297
1,05588	0,26855
1,06603	0,28320
1,07618	0,28320
1,08633	0,27832
1,09649	0,28320
1,10664	0,27344
1,11679	0,28320
1,12694	0,27832
1,13710	0,27344
1,14725	0,27832
1,15740	0,27832
1,16756	0,27344
1,17771	0,27832
1,18786	0,28320
1,19801	0,28320
1,20817	0,27832
1,21832	0,27832
1,22847	0,27832
1,23862	0,27832
1,24878	0,27832
1,25893	0,27344
1,26908	0,27832
1,27923	0,27832
1,28939	0,27832
1,29954	0,26855
1,30969	0,28320
1,31984	0,26855
1,33000	0,28809
1,34015	0,27832
1,35030	0,27832
1,36046	0,27832
1,37061	0,27344
1,38076	0,27344
1,39091	0,27832
1,40107	0,27832
1,41122	0,27832
1,42137	0,27832
1,43152	0,28320
1,44168	0,27832
1,45183	0,28320
1,46198	0,28320
1,47213	0,27832
1,48229	0,28320
1,49244	0,28320
1,50259	0,27832
1,51275	0,28320
1,52290	0,28320
1,53305	0,28320
1,54320	0,28320
1,55336	0,27344
1,56351	0,28320
1,57366	0,27832
1,58381	0,27832
1,59397	0,27832
1,60412	0,27344
1,61427	0,27344
1,62442	0,27344
1,63458	0,27832
1,64473	0,27832
1,65488	0,27344
1,66504	0,28320
1,67519	0,28320
1,68534	0,27832
1,69549	0,26855
1,70565	0,27832
1,71580	0,28320
1,72595	0,27832
1,73610	0,27832
1,74626	0,27344
1,75641	0,27832
1,76656	0,27832
1,77671	0,27832
1,78687	0,28320
1,79702	0,27832
1,80717	0,28320
1,81732	0,28809
1,82748	0,28320
1,83763	0,28320
1,84778	0,27832
1,85794	0,27832
1,86809	0,27832
1,87824	0,28320
1,88839	0,27832
1,89855	0,29297
1,90870	0,28320
1,91885	0,27832
1,92900	0,28320
1,93916	0,28320
1,94931	0,28320
1,95946	0,27832
1,96961	0,27832
1,97977	0,28320
1,98992	0,28320
2,00007	0,28320
2,01023	0,27832
2,02038	0,28320
2,03053	0,27832
2,04068	0,28320
2,05084	0,27832
2,06099	0,27832
2,07114	0,27344
2,08129	0,27832
2,09145	0,28320
2,10160	0,27344
2,11175	0,27832
2,12190	0,28809
2,13206	0,27832
2,14221	0,28320
2,15236	0,27832
2,16252	0,28320
2,17267	0,26855
2,18282	0,28320
2,19297	0,28320
2,20313	0,27832
2,21328	0,28320
2,22343	0,26855
2,23358	0,28320
2,24374	0,27832
2,25389	0,27344
2,26404	0,28320
2,27419	0,27832
2,28435	0,27832
2,29450	0,28320
2,30465	0,27832
2,31480	0,28809
2,32496	0,28809
2,33511	0,26855
2,34526	0,28320
2,35542	0,27832
2,36557	0,28320
2,37572	0,27832
2,38587	0,27832
2,39603	0,27832
2,40618	0,27832
2,41633	0,27832
2,42648	0,27832
2,43664	0,27832
2,44679	0,27344
2,45694	0,27832
2,46709	0,27832
2,47725	0,28809
2,48740	0,27832
2,49755	0,27832
2,50771	0,28809
2,51786	0,27832
2,52801	0,28320
2,53816	0,26855
2,54832	0,27344
2,55847	0,28320
2,56862	0,28320
2,57877	0,27832
2,58893	0,27344
2,59908	0,27832
2,60923	0,28320
2,61938	0,26855
2,62954	0,28809
2,63969	0,27344
2,64984	0,27832
2,66000	0,27832
2,67015	0,27832
2,68030	0,28809
2,69045	0,27344
2,70061	0,27344
2,71076	0,28320
2,72091	0,27832
2,73106	0,27832
2,74122	0,28320
2,75137	0,28809
2,76152	0,28320
2,77167	0,27832
2,78183	0,27832
2,79198	0,27344
2,80213	0,27832
2,81228	0,27832
2,82244	0,28320
2,83259	0,27344
2,84274	0,27344
2,85290	0,27832
2,86305	0,26855
2,87320	0,27832
2,88335	0,26855
2,89351	0,28320
2,90366	0,27344
2,91381	0,27832
2,92396	0,28320
2,93412	0,27344
2,94427	0,27832
2,95442	0,27832
2,96457	0,28320
2,97473	0,27832
2,98488	0,27832
2,99503	0,28320
3,00519	0,27832
3,01534	0,28809
3,02549	0,28320
3,03564	0,27832
3,04580	0,28320
3,05595	0,27832
3,06610	0,27832
3,07625	0,27344
3,08641	0,27344
3,09656	0,28320
3,10671	0,27344
3,11686	0,27832
3,12702	0,28320
3,13717	0,26855
3,14732	0,27832
3,15748	0,27832
3,16763	0,27832
3,17778	0,27832
3,18793	0,27832
3,19809	0,27832
3,20824	0,28320
3,21839	0,27832
3,22854	0,27832
3,23870	0,29297
3,24885	0,27832
3,25900	0,28809
3,26915	0,27832
3,27931	0,27832
3,28946	0,27832
3,29961	0,27832
3,30976	0,28320
3,31992	0,27832
3,33007	0,27832
3,34022	0,27832
3,35038	0,27832
3,36053	0,27832
3,37068	0,27832
3,38083	0,28320
3,39099	0,28809
3,40114	0,27832
3,41129	0,27832
3,42144	0,27832
3,43160	0,27832
3,44175	0,27832
3,45190	0,27832
3,46205	0,27832
3,47221	0,28320
3,48236	0,27344
3,49251	0,27832
3,50267	0,28320
3,51282	0,27832
3,52297	0,28320
3,53312	0,27832
3,54328	0,27832
3,55343	0,27832
3,56358	0,27832
3,57373	0,27832
3,58389	0,27832
3,59404	0,28320
3,60419	0,27832
3,61434	0,28320
3,62450	0,28320
3,63465	0,27832
3,64480	0,27832
3,65496	0,26855
3,66511	0,27832
3,67526	0,28320
3,68541	0,27832
3,69557	0,27832
3,70572	0,27832
3,71587	0,27344
3,72602	0,27832
3,73618	0,27344
3,74633	0,27832
3,75648	0,28809
3,76663	0,27832
3,77679	0,27832
3,78694	0,27832
3,79709	0,27832
3,80724	0,28320
3,81740	0,27832
3,82755	0,27832
3,83770	0,27832
3,84786	0,27832
3,85801	0,27832
3,86816	0,27832
3,87831	0,28320
3,88847	0,27832
3,89862	0,27344
3,90877	0,27832
3,91892	0,28320
3,92908	0,28320
3,93923	0,27832
3,94938	0,27344
3,95953	0,28320
3,96969	0,27832
3,97984	0,27832
3,98999	0,27832
4,00015	0,27832
4,01030	0,27832
4,02045	0,27832
4,03060	0,27832
4,04076	0,28809
4,05091	0,27832
4,06106	0,28809
4,07121	0,27344
4,08137	0,27832
4,09152	0,28320
4,10167	0,28320
4,11182	0,27832
4,12198	0,28320
4,13213	0,27832
4,14228	0,28320
4,15244	0,28320
4,16259	0,27832
4,17274	0,27832
4,18289	0,27344
4,19305	0,27832
4,20320	0,26855
4,21335	0,28809
4,22350	0,28320
4,23366	0,27344
4,24381	0,27344
4,25396	0,28320
4,26411	0,27344
4,27427	0,28320
4,28442	0,26855
4,29457	0,27832
4,30472	0,27344
4,31488	0,28320
4,32503	0,27832
4,33518	0,27832
4,34534	0,28320
4,35549	0,27344
4,36564	0,27832
4,37579	0,28320
4,38595	0,26855
4,39610	0,27832
4,40625	0,27344
4,41640	0,28809
4,42656	0,28320
4,43671	0,27344
4,44686	0,27832
4,45701	0,29297
4,46717	0,28320
4,47732	0,27344
4,48747	0,27832
4,49763	0,27344
4,50778	0,27832
4,51793	0,27832
4,52808	0,27832
4,53824	0,27832
4,54839	0,27344
4,55854	0,27832
4,56869	0,27832
4,57885	0,27832
4,58900	0,28320
4,59915	0,27832
4,60930	0,27832
4,61946	0,28320
4,62961	0,26855
4,63976	0,27832
4,64992	0,27832
4,66007	0,26855
4,67022	0,27832
4,68037	0,27832
4,69053	0,27832
4,70068	0,27832
4,71083	0,28320
4,72098	0,27832
4,73114	0,27344
4,74129	0,27832
4,75144	0,27832
4,76159	0,28320
4,77175	0,27832
4,78190	0,28320
4,79205	0,28320
4,80220	0,27832
4,81236	0,27832
4,82251	0,28320
4,83266	0,27832
4,84282	0,28320
4,85297	0,27832
4,86312	0,27832
4,87327	0,27832
4,88343	0,27344
4,89358	0,27832
4,90373	0,27832
4,91388	0,27832
4,92404	0,27832
4,93419	0,28320
4,94434	0,27344
4,95449	0,28320
4,96465	0,27832
4,97480	0,28320
4,98495	0,27832
4,99511	0,27344
5,00526	0,27832
5,01541	0,27832
5,02556	0,27832
5,03572	0,27832
5,04587	0,27832
5,05602	0,28320
5,06617	0,27832
5,07633	0,28320
5,08648	0,28320
5,09663	0,27344
5,10678	0,27832
5,11694	0,27832
5,12709	0,27344
5,13724	0,27832
5,14740	0,27344
5,15755	0,28320
5,16770	0,26855
5,17785	0,28809
5,18801	0,28320
5,19816	0,27832
5,20831	0,28809
5,21846	0,28320
5,22862	0,28320
5,23877	0,28320
5,24892	0,28809
5,25907	0,27832
5,26923	0,28320
5,27938	0,26855
5,28953	0,27832
5,29968	0,27832
5,30984	0,27832
5,31999	0,27832
5,33014	0,27832
5,34030	0,29297
5,35045	0,27832
5,36060	0,27832
5,37075	0,27832
5,38091	0,27832
5,39106	0,28320
