Time - Singles 1,Count rates (per second) - Singles 1,Time - Singles 2,Count rates (per second) - Singles 2,Time - Singles 3,Count rates (per second) - Singles 3,Time - Singles 4,Count rates (per second) - Singles 4,Time - Singles 5,Count rates (per second) - Singles 5,Time - Singles 6,Count rates (per second) - Singles 6,Time - Singles 7,Count rates (per second) - Singles 7,Time - Singles 8,Count rates (per second) - Singles 8,Time - Coinc 1+2,Count rates (per second) - Coinc 1+2,Time - Coinc 1+3,Count rates (per second) - Coinc 1+3,Time - Coinc 1+4,Count rates (per second) - Coinc 1+4,Time - Coinc 2+3,Count rates (per second) - Coinc 2+3,Time - Coinc 2+4,Count rates (per second) - Coinc 2+4,Time - Coinc 3+4,Count rates (per second) - Coinc 3+4,Time - Coinc 1+2+3,Count rates (per second) - Coinc 1+2+3,Time - Coinc 1+2+4,Count rates (per second) - Coinc 1+2+4,Time - Coinc 1+3+4,Count rates (per second) - Coinc 1+3+4,Time - Coinc 2+3+4,Count rates (per second) - Coinc 2+3+4,Time - Coinc 1+2+3+4,Count rates (per second) - Coinc 1+2+3+4,Time - Plot 19,Count rates (per second) - Plot 19,Time - Plot 20,Count rates (per second) - Plot 20
3591,"65,395k",3591,"46,651k",3591,0,3591,0,3591,0,3591,0,3591,0,3591,0,3591,"2,921k",3591,0,3591,0,3591,0,3591,0,3591,0,3591,0,3591,0,3591,0,3591,0,3591,0,3591,"2,7k",3591,"2,3k"
3592,"64,742k",3592,"47,061k",3592,0,3592,0,3592,0,3592,0,3592,0,3592,0,3592,"2,893k",3592,0,3592,0,3592,0,3592,0,3592,0,3592,0,3592,0,3592,0,3592,0,3592,0,3592,"2,7k",3592,"2,3k"
3593,"65,04k",3593,"46,455k",3593,0,3593,0,3593,0,3593,0,3593,0,3593,0,3593,"2,784k",3593,0,3593,0,3593,0,3593,0,3593,0,3593,0,3593,0,3593,0,3593,0,3593,0,3593,"2,7k",3593,"2,3k"
3594,"65,269k",3594,"46,995k",3594,0,3594,0,3594,0,3594,0,3594,0,3594,0,3594,"2,803k",3594,0,3594,0,3594,0,3594,0,3594,0,3594,0,3594,0,3594,0,3594,0,3594,0,3594,"2,7k",3594,"2,3k"
3595,"65,129k",3595,"46,654k",3595,0,3595,0,3595,0,3595,0,3595,0,3595,0,3595,"2,853k",3595,0,3595,0,3595,0,3595,0,3595,0,3595,0,3595,0,3595,0,3595,0,3595,0,3595,"2,7k",3595,"2,3k"
3596,"65,23k",3596,"47,222k",3596,0,3596,0,3596,0,3596,0,3596,0,3596,0,3596,"2,934k",3596,0,3596,0,3596,0,3596,0,3596,0,3596,0,3596,0,3596,0,3596,0,3596,0,3596,"2,7k",3596,"2,3k"
3597,"65,249k",3597,"46,723k",3597,0,3597,0,3597,0,3597,0,3597,0,3597,0,3597,"2,88k",3597,0,3597,0,3597,0,3597,0,3597,0,3597,0,3597,0,3597,0,3597,0,3597,0,3597,"2,7k",3597,"2,3k"
3598,"64,893k",3598,"47,205k",3598,0,3598,0,3598,0,3598,0,3598,0,3598,0,3598,"2,884k",3598,0,3598,0,3598,0,3598,0,3598,0,3598,0,3598,0,3598,0,3598,0,3598,0,3598,"2,7k",3598,"2,3k"
3599,"65,027k",3599,"47,235k",3599,0,3599,0,3599,0,3599,0,3599,0,3599,0,3599,"2,906k",3599,0,3599,0,3599,0,3599,0,3599,0,3599,0,3599,0,3599,0,3599,0,3599,0,3599,"2,7k",3599,"2,3k"
3600,"65,361k",3600,"46,982k",3600,0,3600,0,3600,0,3600,0,3600,0,3600,0,3600,"2,904k",3600,0,3600,0,3600,0,3600,0,3600,0,3600,0,3600,0,3600,0,3600,0,3600,0,3600,"2,7k",3600,"2,3k"
